place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,inc_10to21,rate19,rate_prior3years
Huron,Fresno County,81,73,152,134,80,40,36,24,10,25,37,-59.3,403.2,511.3
Kerman,Fresno County,371,299,353,233,255,296,243,221,218,214,215,-42.9,1337.5,1335.6
Coalinga,Fresno County,343,420,293,282,204,204,182,147,144,159,122,-74.6,903.4,697.2
Fowler,Fresno County,71,106,135,96,79,59,55,35,46,43,48,-31,641.8,697
Clovis,Fresno County,2428,2608,2685,2220,2065,2454,2337,2234,1932,1810,1826,-18.9,1507.1,1555.6
Firebaugh,Fresno County,88,62,60,28,157,64,57,64,66,51,48,-31.8,629.6,654.3
Kingsburg,Fresno County,253,209,230,162,174,165,126,109,124,107,101,-45.8,862.9,927.4
Sanger,Fresno County,665,523,646,433,319,433,315,240,188,178,241,-65.4,669.2,813.2
Mendota,Fresno County,289,208,226,176,169,132,85,59,78,50,80,-69.2,396.8,579.4
Parlier,Fresno County,231,601,147,156,139,109,100,83,124,106,83,-57.1,726,657.5
Selma,Fresno County,735,722,606,589,552,633,447,411,344,280,318,-59.2,1133.6,1211.7
Reedley,Fresno County,250,275,249,244,236,254,265,148,128,117,122,-30,464.3,547.6
Orange Cove,Fresno County,NA,NA,NA,483,48,62,67,52,42,38,29,NA,395.8,336.5
Fresno,Fresno County,14645,14928,15534,13304,13277,14184,13542,13782,12473,10231,10789,-38.1,1887.3,1850.3
Fresno Co. Sheriff's Department,Fresno County,2230,2331,2366,2133,1702,1838,1468,1249,1245,1304,1374,-37.4,784.8,817.5
