place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,inc_10to21,rate19,rate_prior3years
Porterville,Tulare County,449,519,595,472,343,314,280,338,320,213,223,-57.7,340.3,333.4
Visalia,Tulare County,1237,1110,1227,1218,783,814,998,839,748,747,610,-61.2,528.3,433
Huron,Fresno County,32,44,105,96,26,14,43,16,18,13,18,-53.1,209.7,246.8
Kerman,Fresno County,172,117,126,120,132,68,74,92,84,58,32,-63.4,362.5,318.8
Chowchilla,Madera County,153,184,207,196,139,91,161,150,81,71,35,-66,373.7,277.4
Merced,Merced County,633,802,955,644,605,588,558,472,387,396,390,-53.9,458.9,416.3
Coalinga,Fresno County,173,223,146,169,78,85,90,50,73,38,22,-67.1,215.9,221.6
Fowler,Fresno County,25,43,44,29,55,46,36,48,52,42,34,48,626.9,562.7
Clovis,Fresno County,755,914,955,879,791,420,434,453,358,307,306,-67,255.6,239.2
Firebaugh,Fresno County,53,52,58,18,79,23,37,14,23,15,25,-73.6,185.2,222.2
Kingsburg,Fresno County,128,105,111,111,88,97,116,108,129,76,45,-69.5,612.9,429.8
Sanger,Fresno County,271,297,260,179,168,133,161,173,110,59,54,-87.5,221.8,184.2
Madera,Madera County,460,608,653,589,472,462,297,336,241,235,200,-60.2,355,311.2
Atwater,Merced County,322,355,440,361,240,167,190,185,163,140,134,-58.7,437.5,424.1
Dos Palos,Merced County,58,50,44,56,60,51,75,50,69,36,37,-58.6,620.7,556.9
Los Banos,Merced County,323,397,340,257,207,307,253,217,244,231,280,-2.5,507.7,605.1
Exeter,Tulare County,79,138,89,72,87,118,83,55,49,52,35,-64.6,504.9,371.8
Lindsay,Tulare County,82,73,84,99,85,63,80,58,30,48,31,-57.3,378,299.2
Tulare,Tulare County,527,515,716,909,547,398,292,284,325,225,229,-63.4,326.6,313.1
Avenal,Kings County,63,92,54,63,53,58,86,62,43,26,32,-52.4,189.8,213.9
Corcoran,Kings County,119,106,83,103,105,107,114,101,88,65,82,-45.4,291.5,317
Lemoore,Kings County,114,130,127,112,110,160,111,93,69,71,61,-47.4,263,237
Woodlake,Tulare County,35,33,60,39,34,32,23,20,25,14,7,-80,189.2,125.7
Mendota,Fresno County,62,114,81,75,43,62,33,38,50,45,68,-14.5,357.1,438.9
Parlier,Fresno County,128,472,175,111,65,76,75,90,108,24,23,-78.9,164.4,169.2
Selma,Fresno County,293,339,312,218,225,208,197,300,239,204,115,-67.6,825.9,558.7
Farmersville,Tulare County,54,79,65,104,46,41,31,32,48,24,25,-64.8,230.8,218.3
Hanford,Kings County,252,286,337,345,259,275,222,197,145,131,155,-34.1,225.9,259.8
Dinuba,Tulare County,301,297,341,333,251,163,117,93,77,58,63,-85,235.8,224.8
Reedley,Fresno County,162,178,199,173,142,138,154,147,91,69,60,-75.3,273.8,223.4
Livingston,Merced County,163,180,120,39,73,79,115,95,82,85,60,-60.1,598.6,493
Gustine,Merced County,69,46,39,50,69,52,31,26,24,32,19,-65.2,524.6,409.8
Orange Cove,Fresno County,NA,NA,NA,272,44,41,30,20,30,12,10,NA,125,114.6
Fresno,Fresno County,5262,5713,5902,5223,4721,4429,3697,3649,2949,2321,3036,-21.8,428.1,582.3
Fresno Co. Sheriff's Department,Fresno County,1466,1618,1934,1358,1108,1398,1625,1469,1546,1378,1067,-28.9,829.4,699.8
Kings Co. Sheriff's Department,Kings County,243,242,207,235,160,193,164,165,158,114,119,-50.2,362.1,374.8
Madera Co. Sheriff's Department,Madera County,585,836,794,666,504,556,517,452,469,375,118,-68,527.8,319
Mariposa Co. Sheriff's Department,Mariposa County,124,128,93,98,81,77,53,83,41,53,54,-68.5,309.4,284.3
Merced Co. Sheriff's Department,Merced County,778,767,741,687,490,596,601,554,439,487,360,-42.5,533.4,472.4
Tulare Co. Sheriff's Department,Tulare County,1128,1200,1177,1180,747,750,756,634,627,637,603,-53.4,472.5,436.7
