place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change since 2019,Change since 2010,2022 rate per 100K
Huron^Fresno County^,13,21,29,16,11,9,8,6,3,10,12,5,10,0,-23.1,161.3
Merced^Merced County^,141,149,215,133,143,151,134,158,116,103,133,109,154,49.5,9.2,178.4
Visalia^Tulare County^,176,95,134,156,138,130,120,144,138,159,142,113,130,-18.2,-26.1,91.9
Orange Cove^Fresno County^,NA,NA,NA,8,1,5,3,6,5,2,4,1,2,0,NA,20.8
Atwater^Merced County^,23,37,32,22,25,26,27,23,21,22,29,27,39,77.3,69.6,121.9
Avenal^Kings County^,8,8,5,6,7,4,3,5,1,3,4,5,4,33.3,-50,29.2
Mendota^Fresno County^,22,20,20,15,15,9,12,7,6,4,9,5,3,-25,-86.4,23.8
Chowchilla^Madera County^,5,4,6,7,9,4,7,11,4,3,6,2,5,66.7,0,26.3
Fowler^Fresno County^,4,2,0,2,4,10,4,0,6,5,3,2,0,-100,-100,0
Lemoore^Kings County^,18,12,18,28,18,19,10,21,20,14,12,13,7,-50,-61.1,25.9
Coalinga^Fresno County^,12,5,7,6,6,5,7,10,8,4,6,3,6,50,-50,34.1
Firebaugh^Fresno County^,2,4,5,3,2,1,3,2,5,2,2,3,5,150,150,61.7
Kerman^Fresno County^,11,18,16,9,7,6,7,8,21,4,7,8,11,175,0,68.8
Kingsburg^Fresno County^,2,4,6,2,5,8,8,4,7,3,3,2,5,66.7,150,40.3
Parlier^Fresno County^,20,92,16,18,8,8,13,16,18,9,10,12,12,33.3,-40,82.2
Sanger^Fresno County^,24,20,30,25,12,21,17,15,13,15,18,10,15,0,-37.5,56.4
Corcoran^Kings County^,4,13,5,10,5,13,7,10,11,12,12,5,7,-41.7,75,31.4
Hanford^Kings County^,43,48,59,63,31,58,44,54,41,40,45,35,26,-35,-39.5,44.8
Livingston^Merced County^,13,10,12,2,6,11,6,12,13,11,17,13,15,36.4,15.4,105.6
Gustine^Merced County^,1,5,2,5,4,1,2,1,1,4,2,3,3,-25,200,49.2
Exeter^Tulare County^,5,10,1,4,3,7,3,6,3,5,4,2,1,-80,-80,9.7
Lindsay^Tulare County^,3,10,12,12,6,14,7,13,8,13,8,3,12,-7.7,300,94.5
Madera^Madera County^,100,115,114,107,72,94,98,107,92,77,69,29,54,-29.9,-46,81.6
Farmersville^Tulare County^,7,4,4,15,5,10,3,6,8,5,3,2,3,-40,-57.1,28.8
Woodlake^Tulare County^,3,3,4,1,5,3,3,2,1,2,3,3,0,-100,-100,0
Reedley^Fresno County^,15,29,15,25,20,16,19,14,10,12,11,13,12,0,-20,47.6
City of Fresno^Fresno County^,1021,1020,1015,903,781,1012,1122,958,909,687,889,800,961,39.9,-5.9,177.3
Los Banos^Merced County^,36,29,24,31,29,38,35,41,37,36,35,36,38,5.6,5.6,83.5
Dos Palos^Merced County^,5,3,1,2,2,3,1,1,0,2,5,4,3,50,-40,51.7
Tulare^Tulare County^,75,55,71,77,87,46,57,66,61,69,71,58,87,26.1,16,126.3
Selma^Fresno County^,41,36,45,35,20,34,28,17,16,25,17,21,19,-24,-53.7,76.9
Porterville^Tulare County^,59,58,63,44,38,41,52,58,52,47,42,25,60,27.7,1.7,95.8
Dinuba^Tulare County^,25,21,32,20,18,13,21,18,28,25,18,14,17,-32,-32,69.1
Clovis^Fresno County^,55,55,57,47,48,70,72,61,36,32,39,51,46,43.8,-16.4,38.3
